105;Marit Arne;Intermarché - Circus - Wanty;12:22;
106;Kwiatkowski Michal;INEOS Grenadiers;12:22;
107;Basso Leonardo;Astana Qazaqstan Team;12:22;
108;Engelhardt Felix;Team Jayco AlUla;12:22;
109;Noppe Christophe;Cofidis;12:22;
110;Page Hugo;Intermarché - Circus - Wanty;12:22;
111;Colman Alex;Team Flanders - Baloise;12:22;
112;Blouwe Louis;Bingoal WB;12:22;
113;Hoole Daan;Trek - Segafredo;12:22;
114;Van Dijke Tim;Jumbo-Visma;12:22;
115;Affini Edoardo;Jumbo-Visma;12:22;
116;Steimle Jannik;Soudal - Quick Step;12:22;
117;Sagan Peter;TotalEnergies;12:22;
118;Van Boven Luca;Bingoal WB;12:22;
119;Sánchez Luis León;Astana Qazaqstan Team;12:22;
120;Boivin Guillaume;Israel - Premier Tech;12:22;
121;Braet Vito;Team Flanders - Baloise;12:22;
122;Rowe Luke;INEOS Grenadiers;12:22;
123;O'Brien Kelland;Team Jayco AlUla;12:22;
124;De Wilde Gilles;Team Flanders - Baloise;12:22;
125;Van Tricht Stan;Soudal - Quick Step;12:22;
DNF;Bevin Patrick;Team DSM;;
DNF;Juul-Jensen Christopher;Team Jayco AlUla;;
DNF;Hollenstein Reto;Israel - Premier Tech;;
DNF;Oss Daniel;TotalEnergies;;
DNF;Schär Michael;AG2R Citroën Team;;
DNF;Coté Pier-André;Human Powered Health;;
DNF;Sütterlin Jasha;Bahrain - Victorious;;
DNF;Kreder Wesley;Cofidis;;
DNF;Van Hemelen Vincent;Team Flanders - Baloise;;
DNF;Grondin Donavan;Team Arkéa Samsic;;
DNF;Balmer Alexandre;Team Jayco AlUla;;
DNF;Oliveira Ivo;UAE Team Emirates;;
DNF;Sagiv Guy;Israel - Premier Tech;;
DNF;Rex Laurenz;Intermarché - Circus - Wanty;;
DNF;De Maeght Dorian;Bingoal WB;;
DNF;Laas Martin;Astana Qazaqstan Team;;
DNF;Van Hoecke Gijs;Human Powered Health;;
DNF;Lührs Luis-Joe;BORA - hansgrohe;;
DNF;García Cortina Iván;Movistar Team;;
DNF;Mayrhofer Marius;Team DSM;;
DNF;Ackermann Pascal;UAE Team Emirates;;
DNF;Neilands Krists;Israel - Premier Tech;;
DNF;Declercq Tim;Soudal - Quick Step;;
DNF;Manzin Lorrenzo;TotalEnergies;;
DNF;Boaro Manuele;Astana Qazaqstan Team;;
DNF;Joyce Colin;Human Powered Health;;
DNF;Meeus Jordi;BORA - hansgrohe;;
DNF;Rivera Brandon Smith;INEOS Grenadiers;;
DNF;Apers Ruben;Team Flanders - Baloise;;
DNF;McLay Daniel;Team Arkéa Samsic;;
DNF;Pöstlberger Lukas;Team Jayco AlUla;;
DNF;De Buyst Jasper;Lotto Dstny;;
DNF;Van Asbroeck Tom;Israel - Premier Tech;;
DNF;Gogl Michael;Alpecin-Deceuninck;;
DNF;Bassett Stephen;Human Powered Health;;
DNF;Syritsa Gleb;Astana Qazaqstan Team;;
DNF;Carvalho Andre;Cofidis;;
DNF;De Pestel Sander;Team Flanders - Baloise;;
DNF;Riou Alan;Team Arkéa Samsic;;
DNF;Štybar Zdenek;Team Jayco AlUla;;
DNF;Bax Sjoerd;UAE Team Emirates;;
DNF;Reynders Jens;Israel - Premier Tech;;
DNF;Herregodts Rune;Intermarché - Circus - Wanty;;
DNF;Van Keirsbulck Guillaume;Bingoal WB;;
DNF;Gidich Yevgeniy;Astana Qazaqstan Team;;
DNF;Peák Barnabás;Human Powered Health;;
DNF;Denz Nico;BORA - hansgrohe;;
DNF;Turner Ben;INEOS Grenadiers;;
