DNF;Mattéo Vercher;TotalEnergies;;
DNF;Lennard Hofstede;Jumbo-Visma;;
DNF;Martijn Tusveld;Team DSM;;
DNF;Sander De Pestel;Team Flanders - Baloise;;
DNF;Xandro Meurisse;Alpecin-Deceuninck;;
DNF;Alexandre Delettre;Cofidis;;
DNF;Alessandro Fedeli;Q36.5 Pro Cycling Team;;
DNF;Nils Politt;BORA - hansgrohe;;
DNF;Jorge Arcas;Movistar Team;;
DNF;Anders Halland Johannessen;Uno-X Pro Cycling Team;;
DNF;Ryan Gibbons;UAE Team Emirates;;
DNF;Luke Durbridge;Team Jayco AlUla;;
DNF;Corbin Strong;Israel - Premier Tech;;
DNF;Neilson Powless;EF Education-EasyPost;;
DNF;Clément Champoussin;Team Arkéa Samsic;;
DNF;Brandon Smith Rivera;INEOS Grenadiers;;
DNF;Mika Heming;Tudor Pro Cycling Team;;
DNF;Martin Svrcek;Soudal - Quick Step;;
DNF;Rüdiger Selig;Lotto Dstny;;
DNF;Stan Dewulf;AG2R Citroën Team;;
DNF;David Gaudu;Groupama - FDJ;;
DNF;Matevž Govekar;Bahrain - Victorious;;
DNF;Vito Braet;Team Flanders - Baloise;;
DNF;Jos Van Emden;Jumbo-Visma;;
DNF;Sean Flynn;Team DSM;;
DNF;Walter Calzoni;Q36.5 Pro Cycling Team;;
DNF;Patrick Gamper;BORA - hansgrohe;;
DNF;Jelle Wallays;Cofidis;;
DNF;Martin Urianstad;Uno-X Pro Cycling Team;;
DNF;Felix Großschartner;UAE Team Emirates;;
DNF;Christian Scaroni;Astana Qazaqstan Team;;
DNF;Michael Woods;Israel - Premier Tech;;
DNF;Dries De Pooter;Intermarché - Circus - Wanty;;
DNF;Alexandre Balmer;Team Jayco AlUla;;
DNF;Jacob Eriksson;Tudor Pro Cycling Team;;
DNF;Dries Devenyns;Soudal - Quick Step;;
DNF;Harry Sweeny;Lotto Dstny;;
DNF;Mikaël Cherel;AG2R Citroën Team;;
DNF;Markus Hoelgaard;Trek - Segafredo;;
DNF;Filip Maciejuk;Bahrain - Victorious;;
DNF;Dries Van Gestel;TotalEnergies;;
DNF;Gijs Leemreize;Jumbo-Visma;;
DNF;Oscar Onley;Team DSM;;
DNF;Ward Vanhoof;Team Flanders - Baloise;;
DNF;Jimmy Janssens;Alpecin-Deceuninck;;
DNF;Jonathan Lastra;Cofidis;;
DNF;Kamil Malecki;Q36.5 Pro Cycling Team;;
DNF;Luis-Joe Lührs;BORA - hansgrohe;;
DNF;Gorka Izagirre;Movistar Team;;
DNF;Jacob Hindsgaul;Uno-X Pro Cycling Team;;
DNF;Loïc Vliegen;Intermarché - Circus - Wanty;;
DNF;Jan Maas;Team Jayco AlUla;;
DNF;Guillaume Boivin;Israel - Premier Tech;;
DNF;Sean Quinn;EF Education-EasyPost;;
DNF;Anthony Delaplace;Team Arkéa Samsic;;
DNF;Joshua Tarling;INEOS Grenadiers;;
DNF;Quinn Simmons;Trek - Segafredo;;
DNF;Fabien Grellier;TotalEnergies;;
DNF;Dorian Godon;AG2R Citroën Team;;
DNF;Romain Grégoire;Groupama - FDJ;;
DNF;Fran Miholjevic;Bahrain - Victorious;;
DNF;Alex Colman;Team Flanders - Baloise;;
DNF;Fabio Van Den Bossche;Alpecin-Deceuninck;;
DNF;Leon Heinschke;Team DSM;;
DNF;Tobias Ludvigsson;Q36.5 Pro Cycling Team;;
DNF;Sergio Higuita;BORA - hansgrohe;;
DNF;Andre Carvalho;Cofidis;;
DNF;Anthon Charmig;Uno-X Pro Cycling Team;;
DNF;Rui Oliveira;UAE Team Emirates;;
DNF;Gianni Moscon;Astana Qazaqstan Team;;
DNF;Nick Schultz;Israel - Premier Tech;;
DNF;Mikkel Frølich Honoré;EF Education-EasyPost;;
