103;Sbaragli Kristian;Alpecin-Deceuninck;6:41;
104;Soupe Geoffrey;TotalEnergies;7:06;
105;Maestri Mirco;EOLO-Kometa;7:06;
106;Frison Frederik;Lotto Dstny;7:06;
107;Impey Daryl;Israel - Premier Tech;7:06;
108;Lucca Riccardo;Green Project-Bardiani CSF-Faizanè;7:06;
109;Kluckers Arthur;Tudor Pro Cycling Team;7:06;
110;Drizners Jarrad;Lotto Dstny;7:06;
111;Van Poppel Danny;BORA - hansgrohe;7:06;
112;Stork Florian;Team DSM;7:06;
113;Cataldo Dario;Trek - Segafredo;7:06;
114;Denz Nico;BORA - hansgrohe;7:06;
115;Mayrhofer Marius;Team DSM;7:06;
116;Konovalovas Ignatas;Groupama - FDJ;7:06;
117;Puppio Antonio;Q36.5 Pro Cycling Team;7:06;
118;Van Hooydonck Nathan;Jumbo-Visma;7:20;
119;Maas Jan;Team Jayco AlUla;8:06;
120;Zoccarato Samuele;Green Project-Bardiani CSF-Faizanè;8:06;
121;Declercq Tim;Soudal - Quick Step;8:10;
122;Pöstlberger Lukas;Team Jayco AlUla;8:10;
123;Devenyns Dries;Soudal - Quick Step;8:10;
124;Guarnieri Jacopo;Lotto Dstny;8:10;
125;Russo Clément;Team Arkéa Samsic;8:10;
126;Rutsch Jonas;EF Education-EasyPost;8:10;
127;Martinelli Davide;Astana Qazaqstan Team;8:10;
128;Milan Jonathan;Bahrain - Victorious;8:10;
129;Gaviria Fernando;Movistar Team;8:10;
130;Hänninen Jaakko;AG2R Citroën Team;8:10;
131;Basso Leonardo;Astana Qazaqstan Team;8:10;
132;Mozzato Luca;Team Arkéa Samsic;8:10;
133;Jacobs Johan;Movistar Team;8:10;
134;Lazkano Oier;Movistar Team;8:10;
135;Delettre Alexandre;Cofidis;8:10;
136;Affini Edoardo;Jumbo-Visma;8:57;
137;Renard Alexis;Cofidis;9:19;
138;Heming Mika;Tudor Pro Cycling Team;9:19;
139;Kwiatkowski Michal;INEOS Grenadiers;9:20;
140;Wisniowski Lukasz;EF Education-EasyPost;10:33;
141;Heiduk Kim;INEOS Grenadiers;10:33;
142;Riabushenko Alexandr;Astana Qazaqstan Team;10:33;
143;Bevilacqua Simone;EOLO-Kometa;10:33;
144;Scotson Miles;Groupama - FDJ;10:33;
145;Bissegger Stefan;EF Education-EasyPost;10:33;
146;Thalmann Roland;Tudor Pro Cycling Team;10:33;
147;Eekhoff Nils;Team DSM;10:33;
148;Rowe Luke;INEOS Grenadiers;10:33;
149;Würtz Schmidt Mads;Israel - Premier Tech;10:33;
150;Cavendish Mark;Astana Qazaqstan Team;11:56;
151;Vliegen Loïc;Intermarché - Circus - Wanty;12:34;
152;Hoelgaard Markus;Trek - Segafredo;12:34;
153;Mullen Ryan;BORA - hansgrohe;12:40;
154;Hepburn Michael;Team Jayco AlUla;12:40;
155;Tarozi Manuele;Green Project-Bardiani CSF-Faizanè;12:40;
156;Moschetti Matteo;Q36.5 Pro Cycling Team;12:40;
157;Dujardin Sandy;TotalEnergies;12:40;
158;Bohli Tom;Tudor Pro Cycling Team;12:40;
159;Vergaerde Otto;Trek - Segafredo;12:40;
160;Martin David;EOLO-Kometa;13:10;
161;Rivi Samuele;EOLO-Kometa;13:10;
162;Mulubrhan Henok;Green Project-Bardiani CSF-Faizanè;13:10;
163;Novak Domen;UAE Team Emirates;13:10;
164;Mosca Jacopo;Trek - Segafredo;13:10;
165;Charrin Aloïs;Tudor Pro Cycling Team;13:10;
166;Verre Alessandro;Team Arkéa Samsic;13:10;
167;Bittner Pavel;Team DSM;16:33;
168;Van Emden Jos;Jumbo-Visma;20:32;
169;Abreha Negasi Haylu;Q36.5 Pro Cycling Team;22:32;
170;Dinham Matthew;Team DSM;22:32;
DNF;Covi Alessandro;UAE Team Emirates;;
DNF;Bennett Sam;BORA - hansgrohe;;
DNF;Syritsa Gleb;Astana Qazaqstan Team;;
DNF;Benedetti Cesare;BORA - hansgrohe;;
DNF;Bodnar Maciej;TotalEnergies;;
