DNF;Carvalho Andre;Cofidis;;
DNF;Van Asbroeck Tom;Israel - Premier Tech;;
DNF;Ledanois Kévin;Team Arkéa Samsic;;
DNF;Malecki Kamil;Q36.5 Pro Cycling Team;;
DNF;Charrin Aloïs;Tudor Pro Cycling Team;;
DNF;Leonard Michael;INEOS Grenadiers;;
DNF;Trentin Matteo;UAE Team Emirates;;
DNF;Meurisse Xandro;Alpecin-Deceuninck;;
DNF;Jacques Lucas;Bingoal WB;;
DNF;Smith Dion;Intermarché - Circus - Wanty;;
DNF;Van Boven Luca;Bingoal WB;;
DNF;Dewulf Stan;AG2R Citroën Team;;
DNF;Christensen Ryan;Bolton Equities Black Spoke;;
DNF;Govekar Matevž;Bahrain - Victorious;;
DNF;Krul Wessel;Human Powered Health;;
DNF;Carr Simon;EF Education-EasyPost;;
DNF;Schultz Nick;Israel - Premier Tech;;
DNF;Ludvigsson Tobias;Q36.5 Pro Cycling Team;;
DNF;Hayter Leo;INEOS Grenadiers;;
DNF;Simmons Quinn;Trek - Segafredo;;
DNF;Johannessen Anders Halland;Uno-X Pro Cycling Team;;
DNF;Kragh Andersen Søren;Alpecin-Deceuninck;;
DNF;Gibbons Ryan;UAE Team Emirates;;
DNF;Vermoote Jelle;Intermarché - Circus - Wanty;;
DNF;Meens Johan;Bingoal WB;;
DNF;Paasschens Mathijs;Lotto Dstny;;
DNF;Vanhoof Ward;Team Flanders - Baloise;;
DNF;Naesen Lawrence;AG2R Citroën Team;;
DNF;Chrétien Charles-Étienne;Human Powered Health;;
DNF;Noppé Christophe;Cofidis;;
DNF;Nizzolo Giacomo;Israel - Premier Tech;;
