Ploeg;Renner;Waarde
UAE;BJERG M.;3
UAE;FISHER-BLACK F.;3
UAE;GIBBONS R.;3
UAE;GROSS F.;3
UAE;GROSSSCHARTNER F.;3
UAE;LAENGEN V.;3
UAE;MAJKA R.;3
UAE;NOVAK D.;3
UAE;OLIVEIRA I.;3
UAE;OLIVEIRA R.;3
UAE;POLANC J.;3
UAE;VINK M.;2
Uno-X;KRISTOFF A.;7
Uno-X;TILLER R.;5
Uno-X;HALVORSEN K.;4
Uno-X;JOHANNESSEN T.;4
Uno-X;WAERENSKJOLD S.;4
Uno-X;BLIKRA E.;3
Uno-X;GREGAARD J.;3
Uno-X;JOHANNESSEN A.;3
Uno-X;RESELL E.;3
Uno-X;SKAARSETH A.;3
Uno-X;ABRAHAMSEN J.;2
Uno-X;ANDERSEN I.;2
Uno-X;BENDIXEN L.;2
Uno-X;CHARMIG A.;2
Uno-X;DVERSNES F.;2
Uno-X;EG N.;2
Uno-X;FREDHEIM S.;2
Uno-X;GUDMESTAD T.;2
Uno-X;HINDSGAUL J.;2
Uno-X;HOLTER A.;2
Uno-X;KULSET M.;2
Uno-X;KULSET S.;2
Uno-X;LARSEN N.;2
Uno-X;LEVY W.;2
Uno-X;NORMAN LETH L.;2
Uno-X;SANDER HANSEN M.;2
Uno-X;TRAEEN T.;2
Uno-X;URIANSTAD M.;2
